SCIENTIFIC NAME	PHISICAL SPECIMEN ID	ORGANIZATION	SPECIMENT TYPE	MODIFIED	LICENSE	LOCATION QUALITATIVE [QUANTITATIVE]	GEOLOGICAL AGE	COLLECTING NUMBER	COLLECTING AGENT	DATE COLLECTED	TYPE STATUS (Optional)	MEDIA
Cochlostoma septemspirale Klemm	49955	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Straße Chamby-souzier, oberhalb Vevey am Genfer See		49955	Thaler	25.3.1962		
Cochlostoma septemspirale Klemm	49959	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Montreux - Les Planches		49959	Thaler	9.9.1961		
Cochlostoma septemspirale Klemm	64078	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Schweiz, Schweizer Jura, Delement		64078	Seidl	22.5.1971		
Cochlostoma septemspirale Klemm	49985	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Gorges du Chauderon bei Montreux		49985	Thaler	5.1962		
Cochlostoma septemspirale Klemm	49967	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Schweiz, Kanton Vaud, Weg von Veytaux nach Chillon, bei Montreux		49967	Thaler	4/5.1962		
Cochlostoma septemspirale Klemm	49982	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Doubs, Soucre du Lizon bei Nans-sous-Sainte-Anne		49982	Thaler	19.5.1962		
Cochlostoma septemspirale Klemm	45686	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Gard, Pont du Gard		45686		17.3.1961		
Cochlostoma septemspirale Klemm	69393	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Frankreich, Lyon		69393				
Cochlostoma septemspirale Klemm	7767	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Frankreich, Arcy-sur-Cure, nördl. Avallon		7767	Klemm	3.1941		
Cochlostoma septemspirale Klemm	7601	NHM Wien	PRESERVED SPECIMEN	10/18/2022		Frankreich, Dep. Vasqes, Neufchateau nw von Nancy		7601	Klemm	2.1941		
