Header Definitions at https://dwc.tdwg.org/terms/                                                             Occurence Based Data												Record Level Data			Event Data	Taxonomic Data																Location-Based Data											Geological Context																	
dwc:recordNumber	dwc:occurrenceID	dwc:scientificName	dwc:recordedBy	dwc:institutionID	dwc:institutionCode	dwc:collectionID	dwc:collectionCode	dwc:collectionNumber	dwc:otherCatalogNumbers	dwc:occurrence_remarks	dwc:associatedMedia	dc:type	dwc:basisOfRecord	dwc: dynamicProperties	dwc:eventDate	dwc:taxonID	dwc:verbatimIdentification	dwc:acceptedNameUsage	dwc:speciesName	dwc:kingdom	dwc:phylum	dwc:class	dwc:order	dwc:family	dwc:genus	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:scientificNameAuthorship	dwc:identificationQualifier	dwc:vernacularName	dwc:identifiedBy	dwc:locality	dwc:decimalLatitude	dwc:decimalLongitude	dwc:country	dwc:stateProvince	dwc:county	dwc:habitat	dwc:minimumElevationInMeters	dwc:maximumElevationInMeters	dwc:coordinateUncertaintyInMeters	dwc:georeferenceRemarks	dwc:geologicalContextID	dwc:earliestEonOrLowestEonothem	dwc:latestEonOrHighestEonothem	dwc:earliestEraOrLowestErathem	dwc:latestEraOrHighestErathem	dwc:earliestPeriodOrLowestSystem	dwc:latestPeriodOrHighestSystem	dwc:earliestEpochOrLowestSeries	dwc:latestEpochOrHighestSeries	dwc:earliestAgeOrLowestStage	dwc:earliestAgeOrLowestStage	dwc:lowestBiostratigraphicZone	dwc:highestBiostratigraphicZone	dwc:lithostratigraphicTerms	dwc:group	dwc:formation	dwc:member	dwc:bed
SZU-0496501	SZU50090119	Pedicularis rostratocapitata Crantz	Flavia Domizia Nardi	https://scientific-collections.gbif.org/institution/bfee2121-a5b9-450d-9150-5c0e15b1c905	SZU	https://scientific-collections.gbif.org/collection/59e81ec2-5fc1-4664-a6bb-9982f03cb9e5	SZU	SZU50090119	115558	ABOL 1(1)	https://storage.osca.science/szu/SZU00090119.jpg, https://portal.boldsystems.org/record/SZUAB129-24	Physical Object	PRESERVED SPECIMEN		2023-08-12	https://www.gbif.org/species/7415437	Pedicularis rostratocapitata Cr.			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Pedicularis	rostratocapitata		Crantz			Flavia Domizia Nardi	Hohe Tauern, Ködnitztal, N Lucknerhaus	47.028611	12.690278	Austria	Tirol	Osttirol	subalpine to alpine grassland	2000																					
SZU-0766056	SZU50090042	Festuca versicolor subsp. pallidula (Hack.) Markgr.-Dann.	Andreas Tribsch	https://scientific-collections.gbif.org/institution/bfee2121-a5b9-450d-9150-5c0e15b1c905	SZU	https://scientific-collections.gbif.org/collection/59e81ec2-5fc1-4664-a6bb-9982f03cb9e5	SZU	SZU50090042	113002	ABOL sample; 2(2)	https://storage.osca.science/szu/SZU00090042.jpg, https://portal.boldsystems.org/record/SZUAB024-24	Physical Object	PRESERVED SPECIMEN		2017-08-23	https://www.gbif.org/species/4111390	Festuca versicolor cf. subsp. pallidula	Festuca varia Haenke		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Festuca	versicolor	pallidula	(Hack.) Markgr.-Dann.	cf.		Andreas Tribsch	Nordöstliche Kalkalpen, Rax, Hoher Stein, western ridge between K.1442 and path and around path	47.691111	15.671389	Austria	Steiermark		sunny calcareous rocks	1450	1620																				
SZU-0683494	SZU10000868	Dianthus alpinus L.	Heinrich Wagner	https://scientific-collections.gbif.org/institution/bfee2121-a5b9-450d-9150-5c0e15b1c905	SZU	https://scientific-collections.gbif.org/collection/59e81ec2-5fc1-4664-a6bb-9982f03cb9e5	SZU	SZU10000868	868		https://storage.osca.science/szu/868.jpg	Physical Object	PRESERVED SPECIMEN		1935-07-07	https://www.gbif.org/species/8212256	Dianthus alpinus L.			Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Dianthus	alpinus		L.			Heinrich Wagner	Rax, am Schlangenweg, 83601			Austria	Niederösterreich		Almwiesen	1500	1804																				
NHM-0309404	49955	Cochlostoma septemspirale (Razoumowsky, 1789)	Thaler		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Schweiz, Kanton Vaud, Straße Chamby-souzier, oberhalb Vevey am Genfer See																												
NHM-0576351	49959	Cochlostoma septemspirale (Razoumowsky, 1789)	Thaler		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Schweiz, Kanton Vaud, Montreux - Les Planches																												
NHM-0586743	64078	Cochlostoma septemspirale (Razoumowsky, 1789)	Seidl		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Schweiz, Schweizer Jura, Delement																												
NHM-0366220	49985	Cochlostoma septemspirale (Razoumowsky, 1789)	Thaler		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Schweiz, Kanton Vaud, Gorges du Chauderon bei Montreux																												
NHM-0135344	49967	Cochlostoma septemspirale (Razoumowsky, 1789)	Thaler		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Schweiz, Kanton Vaud, Weg von Veytaux nach Chillon, bei Montreux																												
NHM-0531519	49982	Cochlostoma septemspirale (Razoumowsky, 1789)	Thaler		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Frankreich, Dep. Doubs, Soucre du Lizon bei Nans-sous-Sainte-Anne																												
NHM-0465034	45686	Cochlostoma septemspirale (Razoumowsky, 1789)			NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Frankreich, Dep. Gard, Pont du Gard																												
NHM-0127130	69393	Cochlostoma septemspirale (Razoumowsky, 1789)			NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Frankreich, Lyon																												
NHM-0772825	7767	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Frankreich, Arcy-sur-Cure, nördl. Avallon																												
NHM-0096943	7601	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Frankreich, Dep. Vasqes, Neufchateau nw von Nancy																												
NHM-0862123	45704	Cochlostoma septemspirale (Razoumowsky, 1789)			NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Frankreich, Dep. Gard, Macchia an der Straße zum Pont du Gard																												
NHM-0238707	29059	Cochlostoma septemspirale (Razoumowsky, 1789)	Blume		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Schweiz, Montreux - Glion																												
NHM-0405471	47212	Cochlostoma septemspirale (Razoumowsky, 1789)	Klemm		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Niederbayern, Kelheim																												
NHM-0966666	29818	Cochlostoma septemspirale (Razoumowsky, 1789)	Barthelmes		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Bayern, Schellenberg																												
NHM-0967459	58529	Cochlostoma septemspirale (Razoumowsky, 1789)	Paget		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Niederbayern, Kelheim																												
NHM-0244005	15187	Cochlostoma septemspirale (Razoumowsky, 1789)			NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Österreich, Tirol, Kitzbühel																												
NHM-0372696	33376	Cochlostoma septemspirale (Razoumowsky, 1789)	Häßlein		NHM Vienna							Herbarium Sample	PRESERVED SPECIMEN		10/18/2022																	Deutschland, Bayern, Schellenberg bei Berchtesgaden																												
